Book Name,Author,Rating,Rating_Filled,Number of Reviews,Log Reviews,Price,Description,Genre,Ranks and Genre,Audible Rank,Listening Time,Listening Time Minutes,Data_Source,Has_Description,Has_Genre,Has_Listening_Time,Book_Name_Key,Author_Key
101 Panchatantra Stories,Om Books International,4.1,4.1,237.0,5.472270673671475,233.0,"The Panchatantra is a collection of short stories from India, written more than 5,000 years ago! This is a collection of stories from that legendary collection. The stories inculcate moral values in children in a subtle and fun manner. Enjoy the stories, where plants and animals can converse with human beings too!",Contemporary Fiction | Fiction Short Stories | Short Stories (Books),",#1,059 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#10 in Contemporary Fiction (Audible Audiobooks & Originals),#16 in Fiction Short Stories,#451 in Short Stories (Books)",1059.0,2 hours and 26 minutes,146.0,Both,1,1,1,101 panchatantra stories,om books international
101 Panchtantra Stories,Dreamland Publications,4.3,4.3,1625.0,7.3938782901077555,233.0,"The Panchatantra is a collection of short stories from India, which was written mainly for children more than 2,000 years ago. This book contains a few hand-picked stories from that legendary collection.","Fairy Tales, Folk Tales & Myths for Children | Literature & Fiction for Children | Children's Traditional Stories (Books)",",#536 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#8 in Fairy Tales, Folk Tales & Myths for Children,#30 in Literature & Fiction for Children,#184 in Children's Traditional Stories (Books)",536.0,1 hour and 41 minutes,101.0,Both,1,1,1,101 panchtantra stories,dreamland publications
101 Power Thoughts,Louise L. Hay,4.4,4.4,173.0,5.159055299214529,257.0,"Sample Thought: I CAN RELEASE THE PAST AND FORGIVE EVERYONE. I free myself and everyone in my life from old, past hurts. They are free and I am free to move into new, glorious experiences.",Unknown,Unknown,,Unknown,,Both,1,0,0,101 power thoughts,louise l. hay
101 Zen Stories,Paul Beck,,4.5,0.0,0.0,70.0,,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,101 zen stories,paul beck
11 Hours: A Romantic Thriller,Daniel Paul Singh,4.2,4.2,457.0,6.126869184114185,668.0,,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,11 hours: a romantic thriller,daniel paul singh
"12 Months to $1 Million: How to Pick a Winning Product, Build a Real Business, and Become a Seven-Figure Entrepreneur",Ryan Daniel Moran,4.8,4.8,201.0,5.308267697401205,668.0,,Unknown,Unknown,,Unknown,,Both,0,0,0,"12 months to $1 million: how to pick a winning product, build a real business, and become a seven-figure entrepreneur",ryan daniel moran
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.6,4.6,14042.0,9.54987932996818,1093.0,,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,12 rules for life: an antidote to chaos,jordan b. peterson
13 Kaam Jo Samajhdar Log Nahi Karte [13 Commonwealth Games],Amy Morin,,4.5,0.0,0.0,668.0,"This book helps us identify 13 common habits that hold us back in life and talks about how to avoid them by using strength, adopting change, facing our fears and training our minds.",Psychology | Textbooks & Study Guides,",#559 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#43 in Psychology (Audible Audiobooks & Originals),#6,206 in Textbooks & Study Guides",559.0,8 hours and 18 minutes,498.0,Both,1,1,1,13 kaam jo samajhdar log nahi karte [13 commonwealth games],amy morin
13 Steps to Bloody Good Luck,Ashwin Sanghi,4.2,4.2,686.0,6.532334292222349,501.0,The journey of life isn't exactly easy. Some people make it through hard work and talent. Some fall by the wayside. And some people are just plain lucky. They are blessed with Bloody Good Luck! But is it possible to attract good luck? Can we train ourselves to be lucky? Apparently it seems that Dame Luck isn't that fickle. She is well within our reach.,Unknown,Unknown,,Unknown,,Both,1,0,0,13 steps to bloody good luck,ashwin sanghi
13 Steps to Bloody Good Wealth,Ashwin Sanghi,4.3,4.3,319.0,5.768320995793772,501.0,The only way to become wealthy is by being born wealthy. Right? Wrong!,Indian Literature | Personal Finance | Personal Success,",#3,141 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#29 in Indian Literature (Audible Audiobooks & Originals),#101 in Personal Finance,#437 in Personal Success",3141.0,4 hours and 20 minutes,260.0,Both,1,1,1,13 steps to bloody good wealth,ashwin sanghi
