Book Name,Author,Rating,Rating_Filled,Number of Reviews,Log Reviews,Price,Description,Genre,Ranks and Genre,Audible Rank,Listening Time,Listening Time Minutes,Data_Source,Has_Description,Has_Genre,Has_Listening_Time,Book_Name_Key,Author_Key,Review_Group,Description_Length
A Squash and a Squeeze,Imelda Staunton,4.8,4.8,1643.0,7.404887575616125,323.0,"Visit the farm in this audio edition of A Squash and a Squeeze, read by Imelda Staunton and Steven Pacey - the first ever book from the unparalleled picture book partnership of Julia Donaldson and Axel Scheffler, creators of The Gruffalo. This audiobook also includes a read-along track, a song and an instrumental.",Literature & Fiction for Children | Children's Literature & Fiction (Books),",#4,222 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#275 in Literature & Fiction for Children,#8,137 in Children's Literature & Fiction (Books)",4222.0,23 minutes,23.0,Both,1,1,1,a squash and a squeeze,imelda staunton,1001+,315
A Tale of Two Cities,Charles Dickens,4.2,4.2,7181.0,8.879333174786028,32.0,"After eighteen years as a political prisoner in the Bastille, the ageing Doctor Manette is finally released and reunited with his daughter in England. There the lives of two very different men, Charles Darnay, an exiled French aristocrat, and Sydney Carton, a disreputable but brilliant English lawyer, become enmeshed through their love for Lucie Manette. From the tranquil roads of London, they are drawn against their will to the vengeful, bloodstained streets of Paris at the height of the Reign of Terror, and they soon fall under the lethal shadow of La Guillotine.",Historical Fiction | Classic Literature | Historical Fiction (Books),",#667 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#22 in Historical Fiction (Audible Audiobooks & Originals),#36 in Classic Literature,#312 in Historical Fiction (Books)",667.0,13 hours and 26 minutes,806.0,Both,1,1,1,a tale of two cities,charles dickens,1001+,571
A Time to Kill,John Grisham,4.6,4.6,3300.0,8.101980731853192,410.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,a time to kill,john grisham,1001+,0
A Walk in the Woods,Bill Bryson,4.5,4.5,4078.0,8.313607139317558,683.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,a walk in the woods,bill bryson,1001+,0
A Walk to Remember,Nicholas Sparks,4.5,4.5,1756.0,7.471363088187097,469.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,a walk to remember,nicholas sparks,1001+,0
A Wanted Man: Jack Reacher 17,Lee Child,4.3,4.3,5723.0,8.652423140676342,1093.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,a wanted man: jack reacher 17,lee child,1001+,0
A Wrinkle in Time,Madeleine L'Engle,4.5,4.5,3719.0,8.221478947267192,904.0,"Madeleine L'Engle's groundbreaking science fiction and fantasy classic, soon to be a major motion picture. This movie tie-in audiobook includes an introduction read by director Ava DuVernay, a foreword read by the author, and an afterword read by Madeleine L’Engle’s granddaughter Charlotte Jones Voiklis.",Time Travel Science Fiction for Children | Fiction Classics for Children | Fantasy & Magic for Children,",#2,226 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Time Travel Science Fiction for Children,#24 in Fiction Classics for Children,#47 in Fantasy & Magic for Children",2226.0,6 hours and 27 minutes,387.0,Both,1,1,1,a wrinkle in time,madeleine l'engle,1001+,305
"Act like a Lady, Think like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.5,4.5,3609.0,8.191463051326927,10378.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,"act like a lady, think like a man: what men really think about love, relationships, intimacy, and commitment",steve harvey,1001+,0
Alexander Hamilton,Ron Chernow,4.7,4.7,6558.0,8.788593431293735,1138.0,"Alexander Hamilton was an illegitimate, largely self-taught orphan from the Caribbean who overcame all the odds to become George Washington's aide-de-camp and the first Treasury Secretary of the United States. Few figures in American history are more controversial.",Historical Biographies | Biographies & Autobiographies (Books) | Textbooks & Study Guides,",#3,252 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#23 in Historical Biographies,#4,098 in Biographies & Autobiographies (Books),#36,962 in Textbooks & Study Guides",3252.0,35 hours and 58 minutes,2158.0,Both,1,1,1,alexander hamilton,ron chernow,1001+,265
Alice's Adventures in Wonderland,Lewis Carroll,4.4,4.4,7605.0,8.936692688488204,333.0,"Golden Globe nominee Scarlett Johansson (Lost in Translation, Girl with a Pearl Earring) brings a palpable sense of joy and exuberance to her performance of Lewis Carroll's enduring classic Alice's Adventures in Wonderland. From the White Rabbit and Mad Hatter to the Cheshire Cat and Queen of Hearts, she imbues each madcap character with a distinct voice and personality that will leave a lasting impression long after the adventure is over.",Classic Fiction (Books),",#2,110 in Classic Fiction (Books)",,2 hours and 44 minutes,164.0,Both,1,1,1,alice's adventures in wonderland,lewis carroll,1001+,443
