Genre_List,Average_Rating,Book_Count,Total_Reviews
New Thought Spirituality,4.573333333333333,16,29062.0
Noir Fiction,4.9,1,17.0
Non-Profits & Charities,4.725,4,1135.0
Nonfiction Chapter Books for Children,4.8,1,74.0
Nonfiction Intermediate Readers for Children,4.8,1,74.0
Nonfiction on Emotions & Feelings for Children,4.6000000000000005,3,375.0
Nonfiction on Friendship for Children,4.65,2,132.0
Norse Fairy Tales for Children,4.8,1,208.0
Nuclear Warfare,4.6,1,202.0
Nursing,4.7,1,404.0
Obsessive Compulsive Disorder,4.7,1,703.0
Occult & Paranormal,4.2,3,1254.0
Occult Horror Fiction,4.9,1,496.0
Occupational & Organisational Psychology,4.628571428571428,7,4697.0
Organisational Behaviour,4.580952380952381,21,19454.0
Organised Crime,4.7,1,914.0
"Other Religions, Practices & Sacred Texts",4.471428571428571,7,21113.0
Out-of-Body Experiences,4.6,1,825.0
Outdoor Survival Skills (Books),4.550000000000001,2,5321.0
PC & Video Games (Books),4.7,2,800.0
PTSD,4.8,1,8278.0
Pain Management,4.6,2,2389.0
Painting (Books),4.6,3,6771.0
Palaeontology,4.7,1,968.0
Paranormal & Supernatural Fantasy for Children,4.6,1,430.0
Paranormal & Supernatural Fiction for Teens,4.7,1,3620.0
Paranormal Fantasy,4.533333333333333,3,1238.0
Paranormal Fantasy for Teens,4.7,1,3620.0
Paranormal Romance,4.8,2,544.0
Paranormal Romance for Teens,4.7,1,3620.0
Parapsychology,4.55,2,1193.0
Parent & Adult Children Relationships,4.8,2,1535.0
Parenting,4.675,4,584.0
Parenting Infants & Toddlers,4.659999999999999,5,12728.0
Parenting School-Age Children,4.8,1,2940.0
Parenting Special Needs Children,4.65,2,391.0
Parenting Teenagers,4.6,2,811.0
Personal Development,4.569230769230769,13,11481.0
Personal Development & Self-Help,4.403333333333333,156,125527.0
Personal Finance,4.328947368421052,42,54867.0
Personal Success,4.474418604651163,200,220309.0
Personal Success in Business,4.563157894736842,21,13669.0
Personality Disorders,4.5,1,526.0
Pets & Animal Care (Books),4.566666666666666,3,3022.0
Pets Fiction for Children,4.8,1,508.0
Pharmacology,4.4,1,503.0
Philanthropy & Charity,4.55,2,2366.0
Philosopher Biographies,4.4,1,35.0
Philosophy,4.5285714285714285,17,20076.0
Philosophy & Science,4.541666666666667,12,7530.0
Philosophy History,4.5,7,7561.0
Philosophy Movements,4.5375,8,7874.0
Philosophy of Society,4.6000000000000005,3,1260.0
Physical Illness & Disease,4.633333333333333,3,3472.0
Physician & Patient,4.75,2,2168.0
Physics,4.505263157894737,22,22078.0
Pigs Fiction for Children,4.5,1,87.0
Plays,3.0,2,1.0
Playwriting,4.5,1,209.0
Poetry,4.35,11,2253.0
Poetry (Books),4.375,9,937.0
Police Procedural Mysteries,4.5200000000000005,6,16790.0
Political Advocacy & Activism,4.6,1,1415.0
Political Biographies for Children,4.8,1,387.0
Political Campaigns & Elections,3.9,1,127.0
Political Corruption & Misconduct,4.5,1,706.0
Political Fiction,4.34,5,29383.0
Political Freedom & Security,4.566666666666666,3,102.0
Political Freedom & Security (Books),4.6,1,316.0
Political Ideologies & Doctrines,4.4,1,357.0
Political Philosophy,4.533333333333333,9,9081.0
Political Science,4.371428571428572,9,1136.0
Political Science History & Theory,4.454545454545454,11,11578.0
Political Structure & Processes,3.9,3,1287.0
Political Theory,4.42,5,8730.0
Political Thrillers,4.25,4,2474.0
Politics,4.3,5,3678.0
Politics & Government,4.3,1,32.0
Popular Culture Studies,4.39,10,5750.0
Pornography Studies,4.8,1,104.0
Post-Apocalyptic Science Fiction,4.6,2,6265.0
Postgraduate School Education,4.5,1,1502.0
Poverty & Homelessness Studies,4.5,2,131.0
Power Resource Engineering,3.9499999999999997,2,346.0
Pregnancy & Childbirth,4.6,2,5324.0
Primary Education,4.8,1,2940.0
Privacy & Surveillance Studies,4.6,1,4937.0
Private Investigator Mysteries,4.4399999999999995,5,14983.0
Programming,4.35,2,1220.0
Project Management,4.183333333333334,6,606.0
Psychological Fiction,4.341666666666667,12,28678.0
Psychological Thrillers,4.347368421052631,19,128768.0
Psychology,4.373170731707317,48,57404.0
Psychology Movements,4.550000000000001,2,323.0
Public Finance,4.550000000000001,2,145.0
Public Health,4.65,2,3392.0
Public Relations,4.3,1,965.0
Public Speaking,4.4,8,3257.0
Public Speaking Reference,4.4,1,99.0
Quran,4.6,2,2403.0
Racism & Discrimination Studies,4.64,5,15681.0
Railroad Engineering,4.4,1,258.0
Railroad Travel,4.4,1,258.0
Real Estate Investing & Finance,4.55,2,984.0
Real Estate Investments,4.65,2,2087.0
Regency Romance,4.514285714285714,8,15475.0
Reincarnation,4.6,1,825.0
Relationships,4.523809523809524,21,50290.0
Religion & Philosophy,4.666666666666667,4,4105.0
Religion & Sociology,4.633333333333334,3,6803.0
Religion & Spirituality,3.4166666666666665,8,412.0
Religion & Spirituality (Books),3.7,6,1168.0
Religion For Children,4.7,1,128.0
Religious & Spiritual Fiction,4.5,8,5687.0
Religious Cults,4.6,1,371.0
Religious Ethics,4.75,2,256.0
Religious History,4.433333333333334,6,2585.0
Reptiles & Amphibians Fiction for Children,2.7,1,3.0
Retirement Planning,4.633333333333334,3,2434.0
Revolution Histories,4.3,1,2232.0
Romance,4.428571428571429,14,10816.0
Romance (Books),4.476315789473684,42,72138.0
Romance Anthologies & Short Stories,3.7,1,273.0
Romance for Teens,4.7,1,2310.0
Romantic Comedy,4.371428571428572,14,38237.0
Romantic Comedy for Teens,4.8,1,150.0
Romantic Suspense,4.411111111111111,9,15962.0
Rome,4.2,2,2042.0
Running & Jogging,4.5,1,283.0
Russian History,4.4,1,76.0
Russian Literature,4.7,2,2772.0
Satire Fiction,4.425,5,9028.0
Scary Stories for Children,4.6,2,3594.0
"Sci-Fi Movie, TV & Video Game Tie-Ins for Teens",4.7,1,2244.0
Science,4.233333333333333,10,10112.0
Science Fiction,4.666666666666667,7,8348.0
Science Fiction (Books),4.480555555555555,19,52492.0
Science Fiction Anthologies & Short Stories,4.35,2,1268.0
Science Fiction Dramatisations,4.6,1,398.0
"Science Fiction Movie, TV & Video Game Tie-Ins",4.65,4,4168.0
Science Fiction Romance for Teens,4.4,1,436.0
Science Fiction for Teens,4.7,1,523.0
"Sciences, Technology & Medicine (Books)",4.45,6,5572.0
Screenwriting,4.5,1,209.0
Self-Esteem,4.504347826086956,23,24708.0
Self-Hypnosis,4.7,4,410.0
Serial Killers True Crime,4.6,1,3731.0
Sex Instruction,4.466666666666666,3,566.0
Sexual Abuse & Harassment,4.8,2,2030.0
Sexual Addiction,4.8,1,104.0
Shakespeare Plays,,2,0.0
Short Stories (Books),4.29,20,3492.0
Sleep Disorders,4.575,8,6181.0
Small Businesses,4.416666666666667,18,17254.0
Small Town & Rural Fiction,4.525,8,10921.0
Smoking & Tobacco,4.25,2,2393.0
Soccer (Books),4.7,1,316.0
Social Classes & Economic Disparity,4.65,2,1049.0
Social Media,4.46,5,2598.0
Social Psychology,4.4875,9,9950.0
Social Sciences,4.4125,12,3449.0
Social Scientist & Psychologist Biographies,4.7,2,4019.0
Social Theory,4.4,1,900.0
Social Work,4.8,1,55.0
Society & Culture (Books),4.495238095238095,23,16959.0
Society & Social Sciences,4.6000000000000005,3,1352.0
Sociology,4.41,13,3490.0
Sociology of Death & Dying,4.6,2,12574.0
Sociology of Sports,4.5,1,285.0
Sociology of Urban Areas,4.65,2,195.0
Software Architecture,4.5,1,453.0
Software Development & Engineering,4.3999999999999995,3,1673.0
Southern African History,4.5,1,186.0
Southern United States Literature,4.35,2,377.0
Space Exploration Science Fiction,4.5,1,3748.0
Space Opera Sci-Fi for Teens,4.7,1,2244.0
Space Opera Science Fiction,4.55,4,8450.0
Spanish Language Learning,5.0,3,1.0
Special Education,4.6,1,235.0
Special Forces Military History,4.699999999999999,2,1948.0
Speech,4.2,1,1049.0
Spelling Reference,4.9,1,19.0
Spiritual Channelling,4.8,1,204.0
Spiritualism,4.52,15,8290.0
Spirituality,4.678571428571429,17,13298.0
Spirituality (Books),4.693333333333333,19,18646.0
Spirituality of Dreams,4.6,1,376.0
Sporting Events & Organisations (Books),4.0,1,621.0
Sports & Outdoors,4.8,3,1093.0
Sports (Books),4.6,2,683.0
Sports Biographies,4.325,8,1558.0
Sports Fiction,4.62,5,6275.0
Sports Fiction for Children,4.7,1,1147.0
Sports Psychology,4.6,2,1561.0
Sports Romance,4.4,1,469.0
Sports Training & Coaching (Books),4.4,3,358.0
Stocks,4.341666666666667,12,5507.0
Stories About Toys for Children,4.7,1,900.0
Stories in Verse for Children,4.8,3,15989.0
Stress Management,4.614814814814815,27,42193.0
Study Guides,4.5,2,198.0
Study Guides & Test Preparation,4.4,1,38.0
Study Skills,4.6,1,925.0
Study of Customs & Traditions,4.45,2,272.0
Superhero Fantasy,5.0,2,7.0
Superhero Fiction for Teens,5.0,2,7.0
Supernatural Thrillers,4.5,1,651.0
Supernaturalism,4.5,2,542.0
Survival Stories for Children,4.65,2,1380.0
Survival Stories for Teens,4.55,2,25245.0
Suspense,4.429411764705883,34,150330.0
Sustainable & Green Living,4.699999999999999,2,405.0
Sustainable Development,4.6,1,706.0
Sword & Sorcery Fantasy,4.1,1,270.0
Taoism,4.6,2,988.0
Technology & Society,4.477777777777778,9,3303.0
Technothrillers,4.46,5,8440.0
Teen & Young Adult,4.633333333333334,3,6731.0
Tennis,4.7,2,1632.0
Tennis (Books),4.7,2,1632.0
Terrorism,4.475,4,2408.0
Textbooks & Study Guides,4.429702970297029,119,88336.0
Theater & Ballet,4.6,3,591.0
Theology,4.7,1,330.0
Theology & Philosophy of Religion,4.475,4,2169.0
Theory & Criticism,4.8,1,6.0
Theory & Philosophy,4.574999999999999,4,953.0
Theravada Buddhism,4.65,2,166.0
Thriller & Suspense Dramatizations,4.7,1,47.0
Thriller & Suspense Stories for Children,4.8,1,502.0
Thrillers & Suspense,4.4,1,698.0
Thrillers & Suspense for Teens,4.725,5,4737.0
Tibetan Buddhism,4.7,6,5625.0
Time Management,4.425,10,2563.0
Time Management & Productivity,4.468181818181818,23,9120.0
Time Travel Fiction for Teens,4.6,1,16.0
Time Travel Science Fiction,4.5,2,1639.0
Time Travel Science Fiction for Children,4.5,1,3719.0
Traditional Detective Mysteries,4.2749999999999995,9,7323.0
Transportation & Automotive (Books),4.6,1,263.0
Travel & Tourism,4.4,1,13808.0
Travel & Tourism (Books),4.5,1,255.0
Travel Writing & Commentary,4.25,4,3307.0
Travel Writing (Books),4.533333333333334,3,5380.0
Triathlon,5.0,1,6.0
Triathlon (Books),5.0,1,6.0
True Accounts (Books),4.5125,8,14641.0
True Crime,4.449999999999999,2,1131.0
Tudor & Elizabethan History,4.6,1,23.0
Twelve-Step Programmes,4.6,1,81.0
US State & Local History,4.7,1,1007.0
Unexplained Mysteries,4.3500000000000005,6,4345.0
United States History,4.5285714285714285,8,8029.0
United States History (Books),4.5,7,4404.0
United States History for Children,4.65,2,425.0
United States Immigrant History,4.8,1,3504.0
United States Literature,4.0,4,168.0
United States Politics & Government,4.428571428571429,8,4207.0
Urban Fantasy,4.7,1,3370.0
Urban Fiction,4.444444444444445,9,17021.0
Vigilante Fiction,4.5,1,5134.0
Violence in Society,4.575,4,1439.0
Vision & Eye Problems,4.5,1,201.0
Vitamins & Supplements,4.7,1,1183.0
Vocabulary,4.233333333333333,3,42.0
Vocabulary Books,4.9,1,19.0
War & Military Action Fiction,4.7,1,1050.0
War & Military Fiction,4.571428571428571,7,70376.0
Weight Loss Diets,4.546666666666667,15,12973.0
White Collar & Corporate True Crime,4.550000000000001,2,4966.0
Wicca,4.7,1,1227.0
Witchcraft,4.7,1,1227.0
Women Biographies,4.458333333333333,12,65805.0
Women Biographies for Children,4.8,1,851.0
Women History,4.65,2,311.0
Women Sleuth Mysteries,4.275,4,7362.0
Women in Business,4.5,2,5748.0
Women in Politics,,1,0.0
Women's Christian Living,4.7,2,53.0
Women's Fiction,4.417241379310345,29,170828.0
Women's Studies,4.416666666666667,12,8305.0
"Words, Language & Grammar",4.3999999999999995,11,5775.0
Workplace Culture,4.5625,24,16452.0
World History,4.5928571428571425,16,7735.0
World Literature,4.381818181818182,11,10181.0
World War II Historical Fiction,4.65,2,42298.0
World War II History,4.566666666666666,6,8108.0
Writing Guides (Books),4.666666666666667,3,1935.0
"Writing, Research & Publishing Guides",4.4,1,378.0
Yoga,4.65,2,476.0
Zen Buddhism,4.583333333333333,6,3527.0
