Genre_List,Average_Rating,Book_Count,Total_Reviews
"Cultural, Ethnic & Regional Biographies",4.6,1,5131.0
Customer Service,4.616666666666666,6,1403.0
Cybernetics,4.4,1,159.0
Cyberpunk Science Fiction,4.6,2,18061.0
Cycling,5.0,1,6.0
Dark Fantasy,4.466666666666666,3,663.0
Dark Humour Literature & Fiction,4.333333333333333,3,4564.0
Data Science,4.4,5,897.0
Databases & Big Data,4.366666666666667,3,967.0
Democracy,4.366666666666666,6,2439.0
Depression,4.6,3,2011.0
Design & Fashion (Books),4.733333333333333,4,1970.0
Developmental Psychology,4.433333333333334,3,4625.0
Diabetes,4.65,2,4166.0
Diabetes Diets,4.6,1,1095.0
Diaries & Journals,4.0,1,13.0
"Diets, Nutrition & Healthy Eating",4.618181818181818,13,11438.0
Divination,4.2,1,2547.0
Divorce,4.4,1,243.0
Dogs & Dog Care,4.566666666666666,3,3022.0
Dogs Fiction for Children,4.8,1,508.0
Domestic Thrillers,4.449999999999999,2,2546.0
Dragon & Mythical Creatures Fantasy,4.5,2,7621.0
Dragons & Mythical Creatures Fantasy for Children,4.8,2,8619.0
Drama & Plays,4.033333333333333,4,64.0
Dramatisations,4.8,3,1198.0
Dysfunctional Family Relationships,4.8,2,1535.0
Dystopian Fiction for Teens,4.55,3,25245.0
Dystopian Science Fiction,4.478571428571429,7,53622.0
E-Commerce,4.526666666666667,15,7539.0
ESP,,1,0.0
Early Learning Audiobooks for Children,4.7,1,64.0
Earth Sciences,4.8,2,380.0
Earth Sciences Books,4.377272727272727,26,18546.0
Eastern Philosophy,4.607142857142857,14,16350.0
Eating Disorders,4.6,1,1384.0
Ecology,4.466666666666667,3,491.0
Econometrics & Statistics,4.433333333333334,3,3102.0
Economic Conditions,4.525,4,1939.0
Economic Conditions (Books),4.75,2,959.0
Economic History,4.453846153846154,13,5306.0
Economic History (Books),4.6,2,82.0
Economic Public Policy,4.4,4,1677.0
Economic Theory,4.54,10,4874.0
Economics,4.320588235294117,20,28805.0
Economics Books,4.385,13,28783.0
Education,4.611111111111111,9,5398.0
Education (Books),4.5625,10,1487.0
Education Parent Participation,4.5,1,230.0
Educational Psychology,4.6,1,925.0
Elections & Political Process,4.4,2,158.0
