Book Name,Author,Rating,Rating_Filled,Number of Reviews,Log Reviews,Price,Description,Genre,Ranks and Genre,Audible Rank,Listening Time,Listening Time Minutes,Data_Source,Has_Description,Has_Genre,Has_Listening_Time,Book_Name_Key,Author_Key,Review_Group
The Diamond Sutra: The Buddha Also Said...,OSHO,4.6,4.6,19.0,2.995732273553991,350.0,Unknown,Buddhist Sacred Writings | Consciousness & Thought | Buddhist Philosophy & Practice,",#4,801 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#6 in Buddhist Sacred Writings,#24 in Consciousness & Thought,#28 in Buddhist Philosophy & Practice",4801.0,13 hours and 47 minutes,827.0,Both,0,1,1,the diamond sutra: the buddha also said...,osho,0-50
Edge Strategy: A New Mindset for Profitable Growth,Alan Lewis,4.6,4.6,17.0,2.8903717578961645,703.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,edge strategy: a new mindset for profitable growth,alan lewis,0-50
Great Explorers,David Angus,4.6,4.6,17.0,2.8903717578961645,333.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,great explorers,david angus,0-50
J. Krishnamurti (Hindi Edition): Ek Jeevani [A Biography],Mary Lutyens,4.6,4.6,17.0,2.8903717578961645,836.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,j. krishnamurti (hindi edition): ek jeevani [a biography],mary lutyens,0-50
The Big Store: Inside the Crisis and Revolution at Sears,Donald Katz,4.6,4.6,17.0,2.8903717578961645,0.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,the big store: inside the crisis and revolution at sears,donald katz,0-50
The Monkey King,Shobha Viswanath,4.6,4.6,17.0,2.8903717578961645,75.0,"After tasting the delicious and juicy mango, the King of Benares and his army have arrived at the Monkey Kingdom in search of more mangoes. Can Kapi the monkey king find a way to protect his subjects? A timeless Jataka story that warms your heart again and again!",Apes & Monkeys Fiction for Children | Animal Action & Adventure for Children | Animal Fiction for Children,",#2,966 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Apes & Monkeys Fiction for Children,#9 in Animal Action & Adventure for Children,#32 in Animal Fiction for Children",2966.0,27 minutes,27.0,Both,1,1,1,the monkey king,shobha viswanath,0-50
Anne Frank and Me,Cherie Bennett,4.6,4.6,16.0,2.833213344056216,668.0,"In one moment Nicole Burns's life changes forever. The sound of gunfire at an Anne Frank exhibit, the panic, the crowd, and Nicole is no longer Nicole. Whiplashed through time and space, she wakes to find herself a privileged Jewish girl living in Nazi-occupied Paris during World War II.",Time Travel Fiction for Teens | Fiction on Racism & Discrimination for Teens | Historical Fiction for Teens,",#29,522 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#7 in Time Travel Fiction for Teens,#14 in Fiction on Racism & Discrimination for Teens,#41 in Historical Fiction for Teens",29522.0,7 hours and 57 minutes,477.0,Both,1,1,1,anne frank and me,cherie bennett,0-50
Don't Keep Silent,Elizabeth Goddard,4.6,4.6,16.0,2.833213344056216,938.0,"Investigative reporter Rae Burke will do anything to find her missing sister-in-law, even if it means facing Liam McKade, a man who almost lost his life saving hers. A former DEA agent, Liam thought he could find peace at his Wyoming ranch, but he just doesn't feel at home anywhere anymore.",Christian Thriller & Suspense | Christian Romance | Romantic Suspense,",#29,759 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#14 in Christian Thriller & Suspense,#25 in Christian Romance,#425 in Romantic Suspense (Audible Audiobooks & Originals)",29759.0,10 hours and 37 minutes,637.0,Both,1,1,1,don't keep silent,elizabeth goddard,0-50
Goal Setting: How to Create an Action Plan and Achieve Your Goals,Susan B. Wilson,4.6,4.6,16.0,2.833213344056216,703.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,goal setting: how to create an action plan and achieve your goals,susan b. wilson,0-50
Live Like a Stoic: 52 Exercises for Cultivating a Good Life,Gregory Lopez,4.6,4.6,16.0,2.833213344056216,752.0,"Random House presents the audiobook edition of Live Like a Stoic, by Massimo Pigliucci and Gregory Lopez.",Self-Esteem | Personal Development & Self-Help | Textbooks & Study Guides,",#4,197 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#47 in Self-Esteem,#8,797 in Personal Development & Self-Help,#48,652 in Textbooks & Study Guides",4197.0,10 hours and 43 minutes,643.0,Both,1,1,1,live like a stoic: 52 exercises for cultivating a good life,gregory lopez,0-50
Scenes from a Writer's Life,Ruskin Bond,4.6,4.6,16.0,2.833213344056216,502.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,scenes from a writer's life,ruskin bond,0-50
Nur Jahan's Daughter,Tanushree Podder,4.6,4.6,15.0,2.772588722239781,836.0,"Empress Nur Jahan ruled Hindustan for 16 long years. While her story is often told with wonder and awe, historians and writers ignore the tale of her daughter, Laadli: the reluctant princess who found herself sucked in the maelstrom of her insensitive mother's ruthless ambitions. Destiny having thrust royalty on her, Laadli was trapped into living a life dictated by her ambitious mother. She travelled through tragic events of her life with a stoic optimism.",Unknown,Unknown,,Unknown,,Both,1,0,0,nur jahan's daughter,tanushree podder,0-50
"The Five Forces of Wellness: The Ultraprevention System for Living an Active, Age-Defying, Disease-Free Life",Dr. Mark Hyman,4.6,4.6,15.0,2.772588722239781,1774.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,"the five forces of wellness: the ultraprevention system for living an active, age-defying, disease-free life",dr. mark hyman,0-50
The Murder of Roger Ackroyd (Dramatised),Agatha Christie,4.6,4.6,15.0,2.772588722239781,342.0,A BBC Radio 4 full-cast dramatisation starring John Moffatt as Hercule Poirot.,Traditional Detective Mysteries | Amateur Sleuth Mysteries | Crime Thrillers,",#710 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Traditional Detective Mysteries,#5 in Amateur Sleuth Mysteries,#9 in Crime Thrillers",710.0,1 hour and 27 minutes,87.0,Both,1,1,1,the murder of roger ackroyd (dramatised),agatha christie,0-50
Healing Hypertension: A Revolutionary New Approach,Samuel J. Mann,4.6,4.6,14.0,2.70805020110221,668.0,A pioneering approach to overcoming high blood pressure,Unknown,Unknown,,Unknown,,Advanced Only,1,0,0,healing hypertension: a revolutionary new approach,samuel j. mann,0-50
Beyond the Goal: Theory of Constraints,Eliyahu M. Goldratt,4.6,4.6,13.0,2.6390573296152584,703.0,Unknown,Investing & Trading | Business Management | Analysis & Strategy,",#4,846 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#119 in Investing & Trading,#229 in Business Management,#8,155 in Analysis & Strategy",4846.0,5 hours and 47 minutes,347.0,Both,0,1,1,beyond the goal: theory of constraints,eliyahu m. goldratt,0-50
Finding Faith,Denise Hunter,4.6,4.6,13.0,2.6390573296152584,1172.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,finding faith,denise hunter,0-50
Realizing the Power of Now: An In-Depth Retreat with Eckhart Tolle,Eckhart Tolle,4.6,4.6,13.0,2.6390573296152584,1406.0,"What if you could recapture that remarkable opening, and make it a consistent way of living in the world? Throughout Europe and North America, a man named Eckhart Tolle has emerged as a teacher with the unique ability to draw us into the awakened state he calls ""presence."" With Realizing the Power of Now: An In-Depth Retreat with Eckhart Tolle, you have an unparalleled opportunity to immerse yourself in the timeless dimension — a place within us that always is and ever will be beyond the turmoil of life, a world of calm beyond words, of joy that has no opposite.",Mysticism | Mysticism (Books) | Christianity (Books),",#3,729 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#12 in Mysticism (Audible Audiobooks & Originals),#197 in Mysticism (Books),#1,316 in Christianity (Books)",3729.0,7 hours and 4 minutes,424.0,Both,1,1,1,realizing the power of now: an in-depth retreat with eckhart tolle,eckhart tolle,0-50
The Power of Body Language: An Ex-FBI Agent's System for Speed-Reading People,Joe Navarro,4.6,4.6,12.0,2.5649493574615367,1439.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,the power of body language: an ex-fbi agent's system for speed-reading people,joe navarro,0-50
