Book Name,Author,Description,Listening Time,Ranks and Genre,Number of Reviews,Rating,Price
25 Hours a Day: Going One More to Get What You Want,Nick Bare,,Unknown,Unknown,285.0,4.7,501.0
"26 Marathons: What I Learned About Faith, Identity, Running, and Life from My Marathon Career",Meb Keflezighi,,Unknown,Unknown,115.0,4.8,879.0
2666,Roberto Bolaño,"National Book Critics Circle, Fiction, 2009",39 hours and 15 minutes,",#3,144 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#181 in Literary Fiction,#5,296 in Crime, Thriller & Mystery (Books),#6,054 in Contemporary Fiction (Books)",357.0,4.1,1406.0
"27 Essential Principles of Story: Master the Secrets of Great Storytelling, from Shakespeare to South Park",Daniel Joshua Rubin,,Unknown,Unknown,7.0,5.0,656.0
281 and Beyond,VVS Laxman,"A stylish batsman who could score against any kind of bowling, VVS Laxman played over a hundred Tests to aggregate more than 8,000 runs. Cricket fans still remember with awe his game-changing knock of 281 against Australia in 2001 at Eden Gardens. But playing for India was never easy. He was dropped as often as he was picked, and despite his vast experience and unimpeachable skill, he never made it to a World Cup team.",17 hours and 29 minutes,",#2,481 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Cricket (Audible Audiobooks & Originals),#14 in Sports Biographies,#70 in Cricket (Books)",204.0,4.5,1003.0
"30 Days - Change Your Habits, Change Your Life: A Couple of Simple Steps Every Day to Create the Life You Want",Marc Reklau,Have you ever asked yourself why some people seem to get everything easily and others don't?,4 hours and 12 minutes,",#4,442 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#48 in Time Management & Productivity,#52 in Self-Esteem,#7,344 in Analysis & Strategy",444.0,4.4,340.0
30 Days to Taming Your Tongue: What You Say (And Don't Say) Will Improve Your Relationships,Deborah Smith Peques,,Unknown,Unknown,507.0,4.7,305.0
30 Days to a More Powerful Vocabulary: The 500 Words You Need to Know to Transform Your Vocabulary...and Your Life,Dan Strutzel,A Bigger Vocabulary = A Brighter Future,7 hours and 48 minutes,",#439 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in English Language Learning,#9 in Communication & Social Skills,#18 in Business Careers",14.0,3.7,656.0
30 Lessons for Living: Tried and True Advice from the Wisest Americans,Karl Pillemer Ph.D.,,Unknown,Unknown,248.0,4.4,820.0
"30 Women in Power: Their Voices, Their Stories",Naina Lal Kidwai,"30 Women in Power carries the inimitable voices of Indian women who have been pioneers and led large organizations - in banking, law, the media, advertising, government services, health care, consulting, the fast-moving consumer goods sector and the not-for-profit space.",-1,-1,69.0,4.2,836.0
3001: A Novel,Arthur C. Clarke,,Unknown,Unknown,357.0,4.1,879.0
