Book Name,Author,Description,Listening Time,Ranks and Genre,Number of Reviews,Rating,Price,Genre,Genre_Count,Clean_Description,Clean_Title,Clean_Author,Clean_Genre,Log_Reviews,Popularity,Weighted_Rating,Author_Popularity,Log_Author_Popularity,Description_Length,Description_Characters,Book_Length,Rating_Category,Price_Category,Rating_Normalized,Reviews_Normalized,Price_Normalized,Popularity_Normalized,combined_features
101 Best Indian Fables for Children,Stuti Gupta,Would you like to meet the ferocious king of the jungle? How about listening to the story of the cunning fox that talks its way out of tricky situations? Wonder what the little monkey is doing with the looking glass? Or what the peacock and crow are fighting over?,2 hours and 26 minutes,",#3,958 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#42 in Fairy Tales, Folk Tales & Myths for Children,#255 in Literature & Fiction for Children,#1,094 in Children's Traditional Stories (Books)",23.0,3.7,233.0,"Audible Audiobooks & Originals | Fairy Tales, Folk Tales & Myths for Children | Literature & Fiction for Children | Children's Traditional Stories (Books)",4,would you like to meet the ferocious king of the jungle how about listening to the story of the cunning fox that talks its way out of tricky situations wonder what the little monkey is doing with the looking glass or what the peacock and crow are fighting over,101 best indian fables for children,stuti gupta,audible audiobooks originals fairy tales folk tales myths for children literature fiction for children children s traditional stories books,3.1780538303479458,11.7587991722874,4.017661145451207,23.0,3.1780538303479458,49,264,Medium,Average,Budget,0.74,0.23745247439190506,0.012739201749589939,0.23066614269332142,101 best indian fables for children stuti gupta audible audiobooks originals fairy tales folk tales myths for children literature fiction for children children s traditional stories books would you like to meet the ferocious king of the jungle how about listening to the story of the cunning fox that talks its way out of tricky situations wonder what the little monkey is doing with the looking glass or what the peacock and crow are fighting over
101 Essays That Will Change the Way You Think,Brianna Wiest,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,104.0,4.55,586.0,Unknown,0,sorry we just need to make sure you re not a robot for best results please make sure your browser is accepting cookies,101 essays that will change the way you think,brianna wiest,unknown,4.653960350157523,21.17551959321673,4.099261988183567,198.0,5.293304824724492,22,122,Short,Excellent,Moderate,0.9099999999999999,0.3784870098863586,0.0320393657736468,0.4153889655336288,101 essays that will change the way you think brianna wiest unknown sorry we just need to make sure you re not a robot for best results please make sure your browser is accepting cookies
101 Fairy Tales Book,Dreamland Publications,"This volume is a collection of the most memorable fairy tales for young learners. Short and easy adaptations of stories invite young minds to enjoy the world of fantasy, dreams, fairies, elves, princesses, knights, demons and magicians. Popular tales like Cinderella, Beauty and the Beast, Snow White and the Seven Dwarfs, Thumbelina, Sleeping Beauty, Alice in Wonderland, Aladdin, Pinocchio, Peter Pan and more introduce listeners to these cherished characters through a simple and easy-to-follow retelling. Favourites from the animal kingdom are presented in tales like The Jungle Book, Goldilocks and the Three Bears, The Monkey and the Crab, Three Naughty Little Rabbits, Bambi and others.",-1,-1,386.0,4.3,233.0,Unknown,0,this volume is a collection of the most memorable fairy tales for young learners short and easy adaptations of stories invite young minds to enjoy the world of fantasy dreams fairies elves princesses knights demons and magicians popular tales like cinderella beauty and the beast snow white and the seven dwarfs thumbelina sleeping beauty alice in wonderland aladdin pinocchio peter pan and more introduce listeners to these cherished characters through a simple and easy to follow retelling favourites from the animal kingdom are presented in tales like the jungle book goldilocks and the three bears the monkey and the crab three naughty little rabbits bambi and others,101 fairy tales book,dreamland publications,unknown,5.958424693029782,25.62122618002806,4.12841257802379,3520.0,8.166500319155052,105,693,Long,Good,Budget,0.86,0.503138890067634,0.012739201749589939,0.502598039768254,101 fairy tales book dreamland publications unknown this volume is a collection of the most memorable fairy tales for young learners short and easy adaptations of stories invite young minds to enjoy the world of fantasy dreams fairies elves princesses knights demons and magicians popular tales like cinderella beauty and the beast snow white and the seven dwarfs thumbelina sleeping beauty alice in wonderland aladdin pinocchio peter pan and more introduce listeners to these cherished characters through a simple and easy to follow retelling favourites from the animal kingdom are presented in tales like the jungle book goldilocks and the three bears the monkey and the crab three naughty little rabbits bambi and others
101 Great Answers to the Toughest Interview Questions,Ron Fry,,Unknown,Unknown,9.0,4.6,398.0,Unknown,0,,101 great answers to the toughest interview questions,ron fry,unknown,2.302585092994046,10.59189142777261,4.036304913707251,47.0,3.871201010907891,0,0,Short,Excellent,Budget,0.9199999999999999,0.1537945156693205,0.021760524876981956,0.2077755307896375,101 great answers to the toughest interview questions ron fry unknown
101 Jungle Stories,Om Books International,,Unknown,Unknown,47.0,3.9,233.0,Unknown,0,,101 jungle stories,om books international,unknown,3.871201010907891,15.097683942540774,4.020159222116709,819.0,6.709304340258298,0,0,Short,Average,Budget,0.78,0.30368816705093254,0.012739201749589939,0.29616327888618355,101 jungle stories om books international unknown
101 Panchatantra Stories,Om Books International,"The Panchatantra is a collection of short stories from India, written more than 5,000 years ago! This is a collection of stories from that legendary collection. The stories inculcate moral values in children in a subtle and fun manner. Enjoy the stories, where plants and animals can converse with human beings too!",2 hours and 26 minutes,",#1,059 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#10 in Contemporary Fiction (Audible Audiobooks & Originals),#16 in Fiction Short Stories,#451 in Short Stories (Books)",237.0,4.1,233.0,Audible Audiobooks & Originals | Contemporary Fiction (Audible Audiobooks & Originals) | Fiction Short Stories | Short Stories (Books),4,the panchatantra is a collection of short stories from india written more than 5 000 years ago this is a collection of stories from that legendary collection the stories inculcate moral values in children in a subtle and fun manner enjoy the stories where plants and animals can converse with human beings too,101 panchatantra stories,om books international,audible audiobooks originals contemporary fiction audible audiobooks originals fiction short stories short stories books,5.472270673671475,22.436309762053046,4.047428642536048,819.0,6.709304340258298,52,315,Medium,Good,Budget,0.82,0.4566830303104682,0.012739201749589939,0.4401212192893124,101 panchatantra stories om books international audible audiobooks originals contemporary fiction audible audiobooks originals fiction short stories short stories books the panchatantra is a collection of short stories from india written more than 5 000 years ago this is a collection of stories from that legendary collection the stories inculcate moral values in children in a subtle and fun manner enjoy the stories where plants and animals can converse with human beings too
101 Panchtantra Stories,Dreamland Publications,"The Panchatantra is a collection of short stories from India, which was written mainly for children more than 2,000 years ago. This book contains a few hand-picked stories from that legendary collection.",1 hour and 41 minutes,",#536 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#8 in Fairy Tales, Folk Tales & Myths for Children,#30 in Literature & Fiction for Children,#184 in Children's Traditional Stories (Books)",1625.0,4.3,233.0,"Audible Audiobooks & Originals | Fairy Tales, Folk Tales & Myths for Children | Literature & Fiction for Children | Children's Traditional Stories (Books)",4,the panchatantra is a collection of short stories from india which was written mainly for children more than 2 000 years ago this book contains a few hand picked stories from that legendary collection,101 panchtantra stories,dreamland publications,audible audiobooks originals fairy tales folk tales myths for children literature fiction for children children s traditional stories books,7.3938782901077555,31.793676647463347,4.221290173405408,3520.0,8.166500319155052,32,203,Short,Good,Budget,0.86,0.6403078290014186,0.012739201749589939,0.6236797352226993,101 panchtantra stories dreamland publications audible audiobooks originals fairy tales folk tales myths for children literature fiction for children children s traditional stories books the panchatantra is a collection of short stories from india which was written mainly for children more than 2 000 years ago this book contains a few hand picked stories from that legendary collection
101 Power Thoughts,Louise L. Hay,"Sample Thought: I CAN RELEASE THE PAST AND FORGIVE EVERYONE. I free myself and everyone in my life from old, past hurts. They are free and I am free to move into new, glorious experiences.",-1,-1,173.0,4.4,257.0,Unknown,0,sample thought i can release the past and forgive everyone i free myself and everyone in my life from old past hurts they are free and i am free to move into new glorious experiences,101 power thoughts,louise l hay,unknown,5.159055299214529,22.69984331654393,4.105416017831517,3863.0,8.259458195332408,35,188,Short,Good,Budget,0.8800000000000001,0.4267528252105164,0.014051394204483324,0.4452908176125779,101 power thoughts louise l hay unknown sample thought i can release the past and forgive everyone i free myself and everyone in my life from old past hurts they are free and i am free to move into new glorious experiences
101 Zen Stories,Paul Beck,,Unknown,Unknown,238.0,0.0,70.0,Unknown,0,,101 zen stories,paul beck,unknown,5.476463551931511,0.0,2.9656687438192675,238.0,5.476463551931511,0,0,Short,Low,Budget,0.0,0.45708369297429685,0.0038272279934390375,0.0,101 zen stories paul beck unknown
11 Hours: A Romantic Thriller,Daniel Paul Singh,,Unknown,Unknown,457.0,4.2,668.0,Unknown,0,,11 hours a romantic thriller,daniel paul singh,unknown,6.126869184114185,25.73285057327958,4.098513119469206,457.0,6.126869184114185,0,0,Short,Good,Moderate,0.8400000000000001,0.5192350927998731,0.03652268999453253,0.5047877164388525,11 hours a romantic thriller daniel paul singh unknown
